7641	Id	ProductId	CustomerId		DateCreated
	0	6	171	11150
	1	5	286	2617
	2	12	196	131
	3	13	52	11700
	4	22	72	14242
	5	24	75	28751
	6	26	264	10788
	7	8	104	5389
	8	11	285	22913
	9	13	231	3268
	10	22	127	17018
	11	22	270	4720
	12	28	36	26643
	13	13	123	7574
	14	6	105	30829
	15	14	131	30067
	16	6	173	18115
	17	24	146	17956
	18	4	34	31989
	19	22	109	29970
	20	7	99	11368
	21	9	119	9284
	22	25	82	6435
	23	16	174	27751
	24	13	37	2930
	25	6	36	25510
	26	4	155	29554
	27	4	103	7083
	28	21	152	1879
	29	10	299	27496
	30	16	184	4175
	31	5	220	10605
	32	10	78	9024
	33	18	52	505
	34	9	188	23013
	35	18	294	24592
	36	25	208	5615
	37	27	110	818
	38	1	140	15149
	39	17	267	25482
	40	18	71	28403
	41	18	205	1201
	42	11	113	6709
	43	0	285	23386
	44	26	68	30991
	45	17	16	1145
	46	19	42	15792
	47	6	198	19658
	48	15	69	1511
	49	14	215	32199
	50	4	16	27070
	51	17	242	8550
	52	18	231	3820
	53	2	95	54
	54	4	171	16381
	55	6	101	5563
	56	19	126	22409
	57	3	9	9494
	58	18	241	11983
	59	5	3	3156
	60	2	107	31885
	61	23	4	32520
	62	9	173	31725
	63	25	282	241
	64	19	265	7387
	65	8	97	24541
	66	3	258	13868
	67	5	243	6154
	68	13	54	1872
	69	9	65	4272
	70	22	35	6798
	71	21	100	1667
	72	23	190	6645
	73	1	166	22593
	74	6	22	14475
	75	14	76	19888
	76	25	188	15973
	77	23	258	27540
	78	6	28	24992
	79	28	40	1931
	80	20	280	12160
	81	24	271	9418
	82	13	27	12313
	83	3	237	16179
	84	16	146	29776
	85	22	202	7231
	86	19	108	12571
	87	5	111	4520
	88	11	1	15419
	89	2	295	32740
	90	18	154	32244
	91	20	216	4805
	92	0	174	2154
	93	8	297	17630
	94	19	179	20645
	95	18	40	12925
	96	21	175	20088
	97	15	99	3934
	98	20	288	24496
	99	11	196	7769
	100	29	130	94
	101	11	174	27842
	102	8	291	3358
	103	12	196	23345
	104	7	191	9629
	105	0	104	15340
	106	21	285	13524
	107	14	10	4906
	108	11	197	29102
	109	9	120	24546
	110	6	293	9751
	111	3	7	21487
	112	6	243	934
	113	15	164	6311
	114	20	191	5212
	115	29	41	14643
	116	2	263	15149
	117	21	155	7768
	118	22	284	2900
	119	8	215	16230
	120	11	218	20128
	121	25	43	23177
	122	5	190	12855
	123	20	271	15030
	124	29	171	3716
	125	20	19	23521
	126	21	67	27215
	127	29	278	11848
	128	27	165	558
	129	22	280	24563
	130	24	248	5320
	131	13	72	32695
	132	7	157	18864
	133	15	206	3935
	134	21	55	2999
	135	27	218	17101
	136	20	41	28934
	137	11	124	18473
	138	29	164	6759
	139	23	4	6528
	140	2	159	8320
	141	18	208	4697
	142	26	239	235
	143	2	51	25647
	144	15	170	22130
	145	13	288	6867
	146	10	129	20192
	147	29	11	15901
	148	4	202	5658
	149	0	36	20600
	150	11	37	8577
	151	6	193	557
	152	23	20	14289
	153	10	177	32637
	154	17	101	4337
	155	14	111	21471
	156	11	244	18037
	157	29	202	1802
	158	16	146	22723
	159	1	280	26762
	160	3	110	5653
	161	28	106	1301
	162	9	269	1998
	163	0	71	3291
	164	25	187	32734
	165	18	21	5248
	166	0	79	17199
	167	10	130	8846
	168	18	89	28485
	169	7	74	31089
	170	9	202	26782
	171	3	96	4714
	172	19	169	11381
	173	17	248	22514
	174	1	276	7157
	175	12	190	28290
	176	15	296	4091
	177	2	48	20681
	178	11	211	3069
	179	18	229	16553
	180	20	148	2991
	181	21	287	8344
	182	1	238	31354
	183	28	97	16693
	184	21	28	13541
	185	2	205	7479
	186	15	200	21369
	187	15	69	29176
	188	25	273	15316
	189	17	73	11600
	190	4	295	24537
	191	21	203	22907
	192	11	267	31814
	193	7	187	5692
	194	19	170	24344
	195	13	221	23165
	196	17	168	4993
	197	8	6	15389
	198	22	58	5215
	199	16	169	25515
	200	27	299	10100
	201	26	146	12348
	202	17	206	4815
	203	21	177	29600
	204	28	27	19237
	205	10	169	10660
	206	12	122	21772
	207	18	118	11551
	208	7	66	11353
	209	24	296	17406
	210	27	238	27658
	211	25	194	30607
	212	10	17	30341
	213	12	177	8367
	214	21	103	20759
	215	1	280	26550
